Date ,IPO Name ,Profile,Issue Size,QIB ,HNI ,RII ,Total ,Issue,Listing Open,Listing Close,Listing ,CMP,Current
27-10-10,BS Limited, View,197.36,0.52,3.16,1.04,1.1,248,251,18.93,-92.37,0.33,-99.87
27-10-10,Gyscoal Alloys, View,54.67,1.54,33.44,8,8.59,71,76.6,8.16,-88.51,4.2,-94.08
27-10-10,Prestige Estate, View,1200,4.32,0.24,0.08,2.26,183,190,192.55,5.22,458.25,150.41
20-10-10,Oberoi Realty, View,1028.61,22.15,3.61,0.94,12.13,260,280,282.95,8.83,844.2,224.69
18-10-10,Commercial Eng, View,172.41,3.68,0.34,0.38,2.07,127,122.8,112.25,-11.61,41.85,-67.05
14-10-10,Sea TV Network, View,50.2,1.66,40.94,7.45,9.58,100,120,106,6,5.6,-94.4
14-10-10,Ashoka Buildcon, View,225,25.52,13.91,3.46,15.94,324,333.55,73.33,-77.37,90.5,-72.07
14-10-10,Bedmutha Ind, View,91.8,0.67,29.19,8.51,7.69,102,114.4,180.8,77.25,65.4,-35.88
13-10-10,Va Tech Wabag, View,472.6,36.13,100.98,8.55,36.22,1310,1655,341.88,-73.9,307.25,-76.55
12/10/2010,Tecpro Systems, View,268.03,27.99,62.48,9.07,24.47,355,399.4,407.85,14.89,4.53,-98.72
12/10/2010,Cantabil Retail, View,105,1.71,3.83,2.63,2.35,135,133.8,104.75,-22.41,707,423.7
8/10/2010,Orient Green, View,900,2.09,0.64,0.18,1.07,47,45.7,44.9,-4.47,14.13,-69.94
8/10/2010,Ramky Infra, View,530,4.52,1.45,0.99,2.89,450,450,387.35,-13.92,199.75,-55.61
8/10/2010,Electrosteel St, View,0,5.86,28.58,6.19,8.23,11,11.15,11.25,2.27,31.05,182.27
6/10/2010,Eros Intl, View,350,25.79,73.4,11.95,26.51,175,213.55,190.05,8.6,18.35,-89.51
6/10/2010,Career Point, View,115,47.45,101.93,31.74,47.39,310,461,632.35,103.98,133.9,-56.81
5/10/2010,Sasta Sundar, View,147.5,5.91,35.88,11.04,12.2,118,135.1,110.9,-6.02,411.15,248.43
1/10/2010,Tirupati Inks, View,51.5,1.78,23.18,12.59,8.77,43,53.95,36.65,-14.77,1.59,-96.3
29-09-10,Indosolar, View,357,1.44,1.3,1.81,1.55,29,29.75,23.7,-18.28,5.91,-79.62
9/9/2010,Gujarat Pipavav, View,500,13.2,85.7,9.15,19.94,46,56.25,54.05,17.5,95,106.52
25-08-10,Prakash Steelag, View,68.75,1.27,10.91,6.62,4.53,110,118.55,18.8,-82.91,4.97,-95.48
18-08-10,Bajaj Consumer , View,297,20.19,53.49,6.62,19.29,660,730,151.65,-77.02,198,-70
16-08-10,Bharat Fin, View,1653.97,20.38,18.26,2.81,13.69,985,1036,1088.58,10.52,898.2,-8.81
28-07-10,Shri Aster, View,53.1,0.01,12.46,7.41,4.47,118,127.7,199.1,68.73,1.28,-98.92
21-07-10,Hindustan Media, View,270,8.98,3.39,1,5.43,166,177.95,189.2,13.98,67.7,-59.22
16-07-10,Technofab Engg, View,71.76,4.28,48.85,10.03,12.78,240,265,295.65,23.19,6.85,-97.15
1/7/2010,Parabolic Drugs, View,200,1.48,1.2,0.4,1.04,75,76,64.8,-13.6,5.7,-92.4
21-05-10,Jaypee Infra, View,1650,1.77,1.15,0.61,1.24,102,98,91.3,-10.49,2.65,-97.4
20-05-10,SJVN, View,1079,9.03,3.39,3.12,6.64,26,27.1,25.05,-3.65,28.3,8.85
19-05-10,GB Global, View,107.9,7.97,10.52,2.81,6.32,130,131,133.65,2.81,9.8,-92.46
18-05-10,Tarapur Trans, View,63.75,0.03,5.08,2.74,1.74,75,75,56.9,-24.13,4.95,-93.4
13-05-10,NEL HOLDINGS SO, View,405,2.54,0.22,0.16,1.16,54,50,50.95,-5.65,2.54,-95.3
10/5/2010,Talwalkars Fitn, View,77.44,35.43,51.48,8.43,28.39,128,138,162.6,27.03,1.45,-98.87
16-04-10,Goenka Diamond, View,145,0.78,2.99,0.66,1.07,135,130,12.79,-90.53,1.57,-98.84
12/4/2010,Intrasoft Tech, View,53.65,21.97,21.6,13.51,18.95,145,140,159.35,9.9,222.75,53.62
9/4/2010,Shree Ganesh, View,385.29,1.38,6.13,1.39,1.96,260,258.85,163.25,-37.21,0.82,-99.68
6/4/2010,Persistent, View,168.01,144.43,107.73,21.69,93.6,310,400,204,-34.19,"4,525.00",1359.68
5/4/2010,Pradip Overseas, View,116.6,8.57,45.35,10.53,14.08,110,120,89.29,-18.83,1.14,-98.96
30-03-10,ILandFS Trans, View,700,52.61,39.39,4.56,33.42,258,287,253.68,-1.67,4.98,-98.07
29-03-10,DQ Entertain, View,128.38,93.86,272.88,19.45,86.33,80,135,108.55,35.69,1.03,-98.71
18-03-10,United Bank, View,330,47.08,39.15,9.8,33.38,66,77,68.8,4.24,4.48,-93.21
11/3/2010,Man Infra, View,142,96.06,104.57,10.26,62.53,252,335,46.43,-81.58,93.9,-62.74
10/3/2010,Texmo Pipes, View,45,1.02,30.5,7.26,7.48,90,92.8,137.25,52.5,69,-23.33
3/3/2010,ARSS Infra, View,103,49.34,124.53,18.55,47.62,450,640,736.3,63.62,29.8,-93.38
25-02-10,Hathway Cable, View,735.4,1.43,4.29,0.28,1.36,240,246,41.56,-82.68,21.15,-91.19
24-02-10,DB Realty, View,1500,1.35,1.21,0.01,0.85,468,452.1,455.4,-2.69,41.45,-91.14
24-02-10,Emmbi Ind, View,43.08,0.43,5.55,0.46,1.2,45,46,28.65,-36.33,101.15,124.78
23-02-10,Aqua Logistics, View,150,0.26,5.07,3,1.94,220,225,24.46,-88.88,1.4,-99.36
19-02-10,Thangamayil, View,0,0.52,1.52,2.26,1.12,75,70,71.1,-5.2,"1,293.80",1625.07
15-02-10,Vascon Engineer, View,199.8,1.12,3.65,0.62,1.22,165,155.9,146.38,-11.28,25.2,-84.73
15-02-10,Syncom Health, View,56.25,0.99,16.6,6.25,5.17,75,88,87.85,17.13,4.06,-94.59
8/2/2010,Jubilant Food, View,328.7,59.39,51.95,3.79,31.11,145,160,114.5,-21.03,"3,433.00",2267.59
